AirportID,WBAN,TimeZone
10685,54831,-6
14871,24232,-8
10620,24033,-7
14747,24233,-8
11252,12834,-5
14842,23034,-6
14771,23234,-8
11624,12836,-5
12884,14836,-5
13024,94236,-8
13459,94836,-5
13485,14837,-6
14716,23237,-8
11109,93037,-7
13360,12838,-5
13303,12839,-5
11308,13839,-6
13342,14839,-6
15024,11640,-4
13344,14840,-5
14843,11641,-4
14150,14841,-5
15304,12842,-5
14108,14842,-6
12896,23042,-6
11150,93842,-5
16101,24243,-8
14027,12844,-5
11540,23044,-7
11097,24045,-7
15607,93845,-5
13930,94846,-6
10279,23047,-6
11433,94847,-5
14696,14848,-5
11697,12849,-5
14674,23049,-7
15380,14850,-5
10140,23050,-7
10299,26451,-9
10910,23254,-8
12217,3856,-6
14487,24257,-8
13424,23258,-8
14288,93058,-7
13476,23259,-8
11577,14860,-5
11986,94860,-5
15374,93862,-6
11503,23063,-7
11867,23064,-6
13241,13865,-6
11921,23066,-7
10146,13869,-5
11996,3870,-5
11067,94870,-6
14986,12871,-5
14905,23273,-8
10372,93073,-7
10397,13874,-5
11057,13881,-5
14078,3882,-6
10980,13882,-5
10868,13883,-5
10157,24283,-8
10731,53883,-5
10930,24286,-8
12451,13889,-5
11122,24089,-7
11711,23090,-7
14457,24090,-7
11203,94890,-6
15412,13891,-5
13244,13893,-6
14831,23293,-8
14635,12894,-5
13422,13894,-6
12177,23094,-7
13277,13895,-6
10874,14895,-5
13501,12896,-5
10329,12897,-5
10693,13897,-6
11977,14898,-6
14193,13899,-6
11905,3901,-6
10170,25501,-9
13891,3102,-8
10754,27502,-9
11695,3103,-7
15502,23903,-6
10245,25503,-9
10423,13904,-6
12402,21504,-10
11495,12906,-6
13061,12907,-6
16440,23907,-6
11274,94908,-6
12523,25309,-9
13296,14710,-5
13546,24110,-8
10268,94910,-6
13230,14711,-5
15569,12912,-6
11337,14913,-6
11336,25513,-9
11637,14914,-6
10185,93915,-6
13495,12916,-6
11898,14916,-6
13830,22516,-10
10304,26516,-9
10728,12917,-6
13577,13717,-5
12191,12918,-6
12343,14918,-6
10747,12919,-6
11726,13920,-6
13076,14920,-6
14683,12921,-6
12173,22521,-10
11525,24121,-8
10821,93721,-5
14492,13722,-5
13487,14922,-6
11997,25322,-9
13367,14923,-6
11140,12924,-6
10577,4725,-5
14633,14925,-6
12819,25325,-9
13829,24126,-7
12390,93726,-5
11298,3927,-6
14869,24127,-7
12278,3928,-6
10141,14929,-6
12954,23129,-8
14256,25329,-9
10918,93129,-7
10713,24131,-7
12953,14732,-5
10849,24132,-7
13139,13733,-5
10792,14733,-5
11423,14933,-6
14828,25333,-9
11618,14734,-5
10257,14735,-5
11980,14935,-6
10779,24135,-7
12982,22536,-10
10990,93736,-5
12915,3937,-6
13931,13737,-5
15841,25338,-9
14262,93138,-8
12264,93738,-5
14100,13739,-5
11931,13939,-6
10721,14739,-5
13029,14939,-6
15991,25339,-9
14524,13740,-5
11641,93740,-5
14574,13741,-5
13377,13942,-6
10785,14742,-5
13871,14942,-6
11278,13743,-5
15048,14943,-6
12003,24143,-7
11699,13744,-5
11775,14944,-6
12156,24144,-7
15601,93144,-8
11111,3945,-6
12280,24145,-7
12197,94745,-5
11648,24146,-7
13933,94746,-5
13198,3947,-6
12323,13748,-5
11537,14748,-5
13127,24149,-8
10529,14752,-5
10800,23152,-8
13486,24153,-7
10561,23155,-8
10154,14756,-5
14113,24156,-7
14814,13957,-6
11884,24157,-8
12244,14758,-5
10631,14958,-6
10155,13959,-6
12266,12960,-6
11259,13960,-6
15376,23160,-7
10136,13962,-6
12992,13963,-6
15897,94163,-7
11778,13964,-6
14321,14764,-5
14307,14765,-5
14960,13966,-6
12441,24166,-7
13851,13967,-6
15370,13968,-6
14576,14768,-5
12889,23169,-8
10781,13970,-6
15096,14771,-5
11982,3972,-6
12319,3972,-6
15411,13972,-6
12892,23174,-8
14314,24174,-7
12951,13976,-6
11041,3177,-8
15401,13977,-6
15389,94178,-7
13388,3181,-8
12391,4781,-5
12320,13781,-5
14162,23182,-8
14107,23183,-7
14908,93184,-8
14570,23185,-8
12511,13987,-6
13341,13988,-6
14679,23188,-8
12478,94789,-5
14689,23190,-8
10361,94790,-5
11471,14991,-6
15356,14792,-5
11638,93193,-8
15016,13994,-6
12436,93194,-8
11869,3195,-7
14783,13995,-6
16218,23195,-7
12363,23199,-8
13121,53801,-5
14520,4803,-6
10732,11603,-4
11002,93203,-8
11481,73805,-6
11413,93005,-7
15249,93805,-5
10581,14606,-5
14709,27406,-9
14698,93206,-8
12012,93007,-7
14588,23009,-7
12149,3810,-5
11415,22010,-6
10926,26410,-9
15177,3011,-7
13304,94011,-6
10431,3812,-5
11193,93812,-5
13203,3813,-5
13433,24013,-6
13204,12815,-5
10551,26615,-9
11267,93815,-5
10469,94815,-5
14006,3816,-6
11953,12816,-5
13970,26616,-9
11292,3017,-7
10666,24217,-8
13873,26617,-9
11612,93817,-6
11233,24018,-7
13232,14819,-6
12339,93819,-5
10208,3820,-5
11042,14820,-5
12945,93820,-5
11066,14821,-5
11603,24221,-8
14730,93821,-5
14685,3822,-5
11295,14822,-5
14952,93822,-6
14512,94822,-6
11865,94023,-7
14122,94823,-5
15027,11624,-4
10408,4825,-6
12007,13825,-6
14120,24025,-6
13264,24225,-8
14893,93225,-8
12094,94025,-7
11721,14826,-5
11823,14827,-5
14543,24027,-7
10558,24028,-7
14057,24229,-8
13796,23230,-8
15295,94830,-5
